id,korean,romanization,english,partOfSpeech,topikLevel,category,labels,lessons,sources,primarySource,sourceGroup,sourceType
kv0244,전,jeon,before,noun,1,general-core,general-core,,test-intermediate-1|test-level-1-2-practice|test-level-2-mock|test-level-2-practice|test-reading-skills-set|test-reading-20|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,test-intermediate-1,topik-test,topik
kv0245,곳,gos,place,noun,1,general-core,general-core,,topik-core,topik-core,topik-extra,topik
kv0246,퍼센트,peo-sen-teu,percent,dependent noun,1,general-core,general-core,,topik-core,topik-core,topik-extra,topik
kv0247,가장,ga-jang,most,adverb,1,verbs-actions,verbs-actions,,test-level-2-practice|test-intermediate-advanced-2|test-topik-ii-level-3-practice-2|topik-core,test-level-2-practice,topik-test,topik
kv0248,바로,ba-ro,"right, correctly",adverb,1,transport-directions,transport-directions,,test-intermediate-reading-3|topik-core,test-intermediate-reading-3,topik-test,topik
kv0249,무엇,mu-eos,what,pronoun,1,questions-pronouns,questions-pronouns|clothing-appearance,bab20,bab20|test-level-1-2-practice|test-level-2-mock|test-level-2-practice|test-reading-skills-set|test-reading-20|test-intermediate-advanced-2|test-topik-ii-level-3-practice-2|topik-core,bab20,bab,workbook+topik
kv0250,모든,mo-deun,every one,determiner,1,questions-pronouns,questions-pronouns,,test-intermediate-reading-3|test-intermediate-reading-1|topik-core,test-intermediate-reading-3,topik-test,topik
kv0251,그거,geu-geo,that thing,pronoun,1,clothing-appearance,clothing-appearance,,topik-core,topik-core,topik-extra,topik
kv0252,날,nal,day,noun,1,time-calendar,time-calendar,,test-intermediate-reading-1|topik-core,test-intermediate-reading-1,topik-test,topik
kv0253,마음,ma-eum,heart,noun,1,body-health,body-health|communication-media,,test-intermediate-reading-3|topik-core,test-intermediate-reading-3,topik-test,topik
kv0254,후,hu,after,noun,1,general-core,general-core,,test-intermediate-1|test-level-1-2-practice|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,test-intermediate-1,topik-test,topik
kv0255,남자,nam-ja,boy,noun,1,general-core,general-core,,topik1-vocab|topik-core,topik1-vocab,topik-vocab,topik
kv0256,어디,eo-di,where,pronoun,1,questions-pronouns,questions-pronouns,,topik1-vocab|test-level-1-2-practice|test-level-2-mock|test-reading-skills-set|test-reading-20|topik-core,topik1-vocab,topik-vocab,topik
kv0257,몸,mom,"body, physique",noun,1,general-core,general-core,,test-intermediate-reading-3|topik-core,test-intermediate-reading-3,topik-test,topik
kv0258,얼굴,eol-gul,face,noun,1,general-core,general-core,,topik-core,topik-core,topik-extra,topik
kv0259,들어가다,deul-eo-ga-da,to walk,verb,1,travel-movement,travel-movement,,test-level-1-2-practice|test-reading-20|test-intermediate-advanced-2|test-topik-ii-level-3-practice-2|topik-core,test-level-1-2-practice,topik-test,topik
kv0260,다르다,da-reu-da,to be be different,adjective,1,descriptions-qualities,descriptions-qualities,,topik-core,topik-core,topik-extra,topik
kv0261,내다,nae-da,to produce something,verb,1,verbs-actions,verbs-actions,,topik-core,topik-core,topik-extra,topik
kv0262,사이,sa-i,space between 2 points; the relationship between 2 people,noun,1,transport-directions,transport-directions,,topik-core,topik-core,topik-extra,topik
kv0263,우리나라,u-ri-na-ra,korea,noun,1,general-core,general-core,,topik-core,topik-core,topik-extra,topik
kv0264,손,son,hand,noun,1,body-health,body-health,,topik-core,topik-core,topik-extra,topik
kv0265,그때,geu-ddae,then or at that time,noun,1,time-calendar,time-calendar|clothing-appearance,,topik-core,topik-core,topik-extra,topik
kv0266,찾다,chaj-da,"to seek, look for",verb,1,verbs-actions,verbs-actions,,test-intermediate-reading-3|topik-core,test-intermediate-reading-3,topik-test,topik
kv0267,나가다,na-ga-da,to go out,verb,1,travel-movement,travel-movement,,test-level-2-practice|test-topik-ii-level-3-practice-2|topik-core,test-level-2-practice,topik-test,topik
kv0268,아직,a-jik,still,adverb,1,verbs-actions,verbs-actions,,test-intermediate-1|test-level-2-practice|test-intermediate-reading-1|topik-core,test-intermediate-1,topik-test,topik
kv0269,서다,seo-da,to stand,verb,1,daily-life-actions,daily-life-actions,,topik1-vocab|test-intermediate-1|test-level-2-mock|topik-core,topik1-vocab,topik-vocab,topik
kv0270,역사,yeok-sa,history,noun,1,general-core,general-core,,test-topik-ii-level-3-practice-2|topik-core,test-topik-ii-level-3-practice-2,topik-test,topik
kv0271,동안,dong-an,"for, through, throughout",noun,1,general-core,general-core,,test-intermediate-1|test-intermediate-advanced-2|test-intermediate-reading-3|test-topik-ii-level-3-practice-2|topik-core,test-intermediate-1,topik-test,topik
kv0272,넣다,neoh-da,to put in,verb,1,daily-life-actions,daily-life-actions,,test-intermediate-reading-1|topik-core,test-intermediate-reading-1,topik-test,topik
